Customers,Cancelled_orders_count
656d4ae23fefb8f2a2d6601c0f8f989a,1
6624e5feedfd9d66cc59050f3e6825f8,1
667b01d12293498130b4aa8e81ff7dc0,1
6799458a73272f25ae39127f1e402dad,1
67a7e94ec59ef6d6ba83942c81d39b9a,1
681405a99faf3ac8afc2dc018a3f67bb,1
6993190a7c6a252ad0afb5128c8522a4,1
6a04c8339c44b23e189446216a494569,1
6a1ff37aa020ee71c9e359413e553826,1
6a65df7b3e532c05f3b312bb7e77ff33,1
6ab21d4e4c53e3189aa5f0756f477dd1,1
6b619e0217dbe64b4cdc74160be64f2f,1
6ba3571c79296aa8f1ca7fc5b1b84b4c,1
6ba987d564bad1f9da8e14b9d3b71c8f,1
6bb7c9ac69dc13b436f413acec41a1b6,1
6cad2595071b142d5f90563f43558cc9,1
6d004368588f6fee399cff4bfd5bf7eb,1
6d23acdd09a2f24815b1f5e61df344b1,1
6d443b75cff956bb73dce7385033e266,1
6da978ae0a1651e61c566f73e571f279,1
6e591d9acd20df3d180db1b57c621e96,1
6e59e6f05dc89b195475d81418aad42a,1
6e5ae65e6fe7ab42b23fd320e88ea33a,1
6eb9314151358fa3229b370c00fa289d,1
6f217112396e52467e82b6a16c9262c5,1
6f59eba24fd00a27069b57c896d8899a,1
6f6e521d574ed02393ce4bab51b9a0b8,1
700de140e7ab91fa3f4d2f7cc1cc2f38,1
7025306e641522debb280ea50c977db8,1
716e19f14e35f06abf2ae6006761202c,1
718028dee40c5253ab23fad0a46a9eb0,1
71ba8ba1fca338623659e60a7a364d0e,1
724f31ab734fd1b91e4d9fd57276fb58,1
72a8b18fc6e02d98796664610f6e59e7,1
73267f7077dd9d3d5d28033e63af2b4d,1
735e1a0bf3473b83aa51ba5a03387cec,1
73ae4f70ede92dc7822f5c1253bc8906,1
743d8ab0e2ea831f17a024125530ac8e,1
74738abd21e12b3b30e46ba97d978d59,1
74d331122a116cb1689a0ee6e646979e,1
74f102b84b6d27b45d8064e329eb57de,1
75313f5c563454af28ad2467c0cc47b9,1
753bc5d6efa9e49a03e34cf521a9e124,1
756056dc496b52935b053a6f0d02c68f,1
7572e5cef60b963282594a4475752b3f,1
759cc1995ca016648b670d3cb5c0c999,1
